Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6uMJxz8wcxIcUTq9rpLpLy,"Concerning Hobbits (From The Lord of the Rings)","Concerning Hobbits (From The Lord of the Rings)","Harp of the Elvenwood",2023-11-23,62722,43,1136646439,2024-09-08T16:27:29Z,"medieval","Everrealm Records",0.618,0.0408,0,-24.734,1,0.0524,0.99,0.915,0.111,0.274,69.937,4
1C065jmBvYikHG6uCD1QHm,"Forgotten Lands","Forgotten Lands","Everrune",2021-12-08,135653,42,1136646439,2024-09-08T16:27:29Z,"medieval","Everrealm Records",0.114,0.164,0,-17.681,1,0.037,0.935,0.717,0.0886,0.0398,78.788,4
2G9AFO2Cuh65PBzqREZSms,"Dreamweaver's Lullaby","Fantasy Dreams","Harp of the Elvenwood",2024-03-10,115660,45,1136646439,2024-09-08T16:27:29Z,"medieval","Everrealm Records",0.446,0.0398,2,-26.202,0,0.0345,0.932,0.955,0.12,0.127,140.045,4
1v4gnNlV7wa5rQi3ZwY6nO,"Northern Discovery","Forgotten Lands","Everrune",2021-12-08,129033,39,1136646439,2024-09-08T16:27:29Z,"medieval","Everrealm Records",0.186,0.186,9,-16.687,0,0.0382,0.923,0.935,0.154,0.0733,78.56,4
5oIck8vd39TGahx5xKcHSW,"Dreams of the Undying Lands","Enchanted Lullabies","Stillness in Motion",2024-04-05,73152,42,1136646439,2024-09-08T16:27:29Z,"","Everrealm Records",0.479,0.0633,0,-23.69,0,0.0355,0.946,0.872,0.116,0.0634,77.959,4
0lUWwaR16BjP6sk54dyVhH,"Elven Dawn","Rebirth: Drones of Fantasy","Moonlynx",2023-02-03,91774,0,1136646439,2024-09-08T16:27:29Z,"","Everrealm Records",0.198,0.126,0,-16.654,1,0.0374,0.648,0.69,0.109,0.0315,88.424,3
5aC5bSBWno1VC9bLgu2xfg,"A Dreamer's Quest","Enchanted Lullabies","Stillness in Motion",2024-04-05,72166,44,1136646439,2024-09-08T16:27:29Z,"","Everrealm Records",0.474,0.0682,10,-24.533,1,0.0389,0.922,0.88,0.0765,0.0511,156.057,1
5d7ATFcPkgMgwoBJvi3Osb,"Celestial Nocturne","Fantasy Dreams","Harp of the Elvenwood",2024-03-10,94846,46,1136646439,2024-09-08T16:27:29Z,"medieval","Everrealm Records",0.569,0.127,5,-24.955,0,0.0348,0.986,0.941,0.105,0.15,129.987,4
2MuzOAs9iNweyRHCRV6qlA,"Lothlórien","Rings of Power","Celestial Aeon Project,Everrune",2022-03-11,112170,42,1136646439,2024-09-08T16:27:29Z,"medieval,celta","Ouranio Recordings",0.217,0.188,2,-15.404,0,0.0383,0.982,0.976,0.13,0.0378,35.302,4
5Knu8jl1KXlIYAm5BWmAMJ,"Whisperwood","Fantasy Dreams","Harp of the Elvenwood",2024-03-10,84000,46,1136646439,2024-09-08T16:27:29Z,"medieval","Everrealm Records",0.461,0.0472,0,-25.81,0,0.0344,0.923,0.912,0.0998,0.17,139.833,4
2gC0XgAHKyk5yXYi4Xlk3V,"A Hobbit's Sleep","Shire Sleep","Celestial Aeon Project,Enchanted Realms Orchestra,Everrune",2024-05-17,51060,44,1136646439,2024-09-08T16:27:29Z,"medieval,celta","Ouranio Recordings",0.157,0.163,2,-11.765,1,0.04,0.988,0.751,0.101,0.0563,69.79,3
714dGILrQO39sqqaUBAkH7,"Fort Oblivion","Rings of Power","Celestial Aeon Project,Everrune",2022-03-11,105070,41,1136646439,2024-09-08T16:27:29Z,"medieval,celta","Ouranio Recordings",0.225,0.0745,4,-22.475,0,0.041,0.893,0.96,0.109,0.0777,71.835,4
287jxUUytYzWaDQBpR4QwU,"Sylvan Sleepwalker","Fantasy Dreams","Harp of the Elvenwood",2024-03-10,72642,44,1136646439,2024-09-08T16:27:29Z,"medieval","Everrealm Records",0.336,0.0861,5,-27.995,1,0.0317,0.978,0.852,0.132,0.129,140.048,3
1OCAAeStscXChVKnfUmR7R,"Rivendell","Fantasy Ambient, Vol. 1","Moonlynx",2022-06-17,144293,0,1136646439,2024-09-08T16:27:29Z,"","Everrealm Records",0.175,0.204,5,-16.981,0,0.0369,0.718,0.803,0.124,0.0356,134.301,3
1KzCVcRFHtVDbuaiFB3P1P,"Elven Reverie","Enchanted Lullabies","Stillness in Motion",2024-04-05,71655,40,1136646439,2024-09-08T16:27:29Z,"","Everrealm Records",0.471,0.134,3,-24.529,1,0.0323,0.968,0.932,0.0921,0.108,155.941,5
4QidN7aaf83HPquiIx9RJ2,"Isilynor","Rings of Power","Celestial Aeon Project,Everrune",2022-03-11,97545,39,1136646439,2024-09-08T16:27:29Z,"medieval,celta","Ouranio Recordings",0.149,0.197,9,-17.166,0,0.0426,0.965,0.87,0.133,0.109,73.455,1
